sent_id	layer	sentence_good	sentence_bad	sent1_logprob	sent2_logprob	sent1_avg_logprob	sent2_avg_logprob	sent1_logprob_greater	sent1_avg_logprob_greater	field	linguistics_term	instruction
0	1	Some turtles alarm Kimberley.	Some turtles come here Kimberley.	-286.0	-320.0	-57.25	-53.25	True	False	syntax	argument_structure	Write a natural, coherent English sentence.
1	1	Diane watched Alan.	Diane screamed Alan.	-241.0	-231.0	-60.25	-57.75	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
2	1	This cousin of Theodore buys some mushroom.	This cousin of Theodore wept some mushroom.	-368.0	-374.0	-46.0	-46.75	True	True	syntax	argument_structure	Write a natural, coherent English sentence.
3	1	Rhonda was arguing about this nephew of Dana.	Rhonda was going fishing this nephew of Dana.	-488.0	-454.0	-48.75	-45.5	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
4	1	A lot of actresses' nieces have toured that art gallery.	A lot of actresses' nieces have coped that art gallery.	-408.0	-472.0	-34.0	-36.25	True	True	syntax	argument_structure	Write a natural, coherent English sentence.
5	1	Debra wears many skirts.	Debra slumps over many skirts.	-312.0	-442.0	-52.0	-55.25	True	True	syntax	argument_structure	Write a natural, coherent English sentence.
6	1	Chad's daughters embarrasses Erin's girlfriend.	Chad's daughters screamed Erin's girlfriend.	-428.0	-382.0	-39.0	-38.25	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
7	1	Elaine criticized Jill.	Elaine shrugs Jill.	-258.0	-304.0	-51.5	-50.5	True	False	syntax	argument_structure	Write a natural, coherent English sentence.
8	1	The pedestrians question some people.	The pedestrians wave some people.	-324.0	-312.0	-53.75	-52.0	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
9	1	Vanessa has gone to a lot of college campuses.	Vanessa has smiled a lot of college campuses.	-370.0	-336.0	-37.0	-37.25	False	True	syntax	argument_structure	Write a natural, coherent English sentence.
10	1	Those committees listened to Kristen.	Those committees react Kristen.	-272.0	-249.0	-45.5	-49.75	False	True	syntax	argument_structure	Write a natural, coherent English sentence.
