sent_id	layer	sentence_good	sentence_bad	sent1_logprob	sent2_logprob	sent1_avg_logprob	sent2_avg_logprob	sent1_logprob_greater	sent1_avg_logprob_greater	field	linguistics_term
0	1	A niece of most senators hasn't descended most slopes.	A niece of most senators haven't descended most slopes.	-564.0	-568.0	-47.0	-47.25	True	True	morphology	subject_verb_agreement
1	1	The sketch of those trucks hasn't hurt Alan.	The sketch of those trucks haven't hurt Alan.	-592.0	-592.0	-53.75	-53.75	False	False	morphology	subject_verb_agreement
2	1	A newspaper article about the Borgias has disagreed with Marcus.	A newspaper article about the Borgias have disagreed with Marcus.	-504.0	-524.0	-42.0	-43.5	True	True	morphology	subject_verb_agreement
3	1	The niece of most guests has cleaned every college campus.	The niece of most guests have cleaned every college campus.	-584.0	-604.0	-53.0	-54.75	True	True	morphology	subject_verb_agreement
4	1	A sketch of lights doesn't appear.	A sketch of lights don't appear.	-388.0	-388.0	-43.0	-43.0	False	False	morphology	subject_verb_agreement
5	1	The movies about Galileo were astounding Melanie.	The movies about Galileo was astounding Melanie.	-512.0	-492.0	-64.0	-61.5	False	False	morphology	subject_verb_agreement
6	1	A cousin of a lot of dancers anticipates Naomi to aggravate Angela.	A cousin of a lot of dancers anticipate Naomi to aggravate Angela.	-608.0	-620.0	-46.75	-47.5	True	True	morphology	subject_verb_agreement
7	1	A movie about the Impressionists hasn't scared Harvard University.	A movie about the Impressionists haven't scared Harvard University.	-510.0	-504.0	-39.25	-38.75	False	False	morphology	subject_verb_agreement
8	1	The pamphlets about Galileo are winning.	The pamphlets about Galileo is winning.	-384.0	-376.0	-54.75	-53.75	False	False	morphology	subject_verb_agreement
9	1	The daughter of those senators works with Patrick.	The daughter of those senators work with Patrick.	-448.0	-476.0	-49.75	-53.0	True	True	morphology	subject_verb_agreement
10	1	A story about the Balkans doesn't irritate a person.	A story about the Balkans don't irritate a person.	-484.0	-476.0	-40.25	-39.75	False	False	morphology	subject_verb_agreement
11	1	The sisters of Timothy judge Randolf to weep.	The sisters of Timothy judges Randolf to weep.	-516.0	-524.0	-51.5	-52.5	True	True	morphology	subject_verb_agreement
12	1	The daughter of the Lutherans hasn't argued about that waitress.	The daughter of the Lutherans haven't argued about that waitress.	-620.0	-612.0	-44.25	-43.75	False	False	morphology	subject_verb_agreement
13	1	A nephew of senators is wanting to murmur.	A nephew of senators were wanting to murmur.	-416.0	-438.0	-46.0	-48.5	True	True	morphology	subject_verb_agreement
14	1	The prints of that high school are impressing Helen.	The prints of that high school was impressing Helen.	-560.0	-552.0	-56.0	-55.25	False	False	morphology	subject_verb_agreement
15	1	A report about the Impressionists has won.	A report about the Impressionists have won.	-318.0	-338.0	-35.25	-37.5	True	True	morphology	subject_verb_agreement
16	1	The grandsons of Douglas chuckle.	The grandsons of Douglas chuckles.	-388.0	-408.0	-65.0	-58.25	True	False	morphology	subject_verb_agreement
17	1	The mothers of Mary seem to shrink.	The mothers of Mary seems to shrink.	-460.0	-448.0	-57.5	-56.0	False	False	morphology	subject_verb_agreement
18	1	The books about Winston Churchill do look like paintings.	The books about Winston Churchill does look like paintings.	-568.0	-556.0	-56.75	-55.5	False	False	morphology	subject_verb_agreement
19	1	The sketches of some dancer do bore these girls.	The sketches of some dancer does bore these girls.	-616.0	-608.0	-61.75	-60.75	False	False	morphology	subject_verb_agreement
20	1	The daughter of most actresses is observing Christina.	The daughter of most actresses were observing Christina.	-484.0	-504.0	-54.0	-56.0	True	True	morphology	subject_verb_agreement
21	1	A story about the Lutherans hasn't won.	A story about the Lutherans haven't won.	-390.0	-380.0	-35.5	-34.5	False	False	morphology	subject_verb_agreement
22	1	The friends of every person do fix some cups.	The friends of every person does fix some cups.	-580.0	-572.0	-58.0	-57.5	False	False	morphology	subject_verb_agreement
23	1	A father of guys was passing most college campuses.	A father of guys are passing most college campuses.	-528.0	-520.0	-52.75	-52.25	False	False	morphology	subject_verb_agreement
24	1	The commentaries about music do disgust Kayla.	The commentaries about music does disgust Kayla.	-600.0	-580.0	-75.0	-72.5	False	False	morphology	subject_verb_agreement
25	1	The grandfathers of Diana drink.	The grandfathers of Diana drinks.	-430.0	-430.0	-61.5	-61.25	False	False	morphology	subject_verb_agreement
26	1	The daughters of Wayne don't exit art galleries.	The daughters of Wayne doesn't exit art galleries.	-548.0	-556.0	-49.75	-50.5	True	True	morphology	subject_verb_agreement
27	1	The pamphlets about art aggravate Sherry.	The pamphlets about art aggravates Sherry.	-498.0	-524.0	-71.0	-65.5	True	False	morphology	subject_verb_agreement
28	1	A granddaughter of the Impressionists wasn't lifting a convertible.	A granddaughter of the Impressionists aren't lifting a convertible.	-532.0	-532.0	-41.0	-41.0	False	False	morphology	subject_verb_agreement
29	1	The granddaughters of Walter have boasted about a teenager.	The granddaughters of Walter has boasted about a teenager.	-532.0	-528.0	-53.0	-52.75	False	False	morphology	subject_verb_agreement
30	1	The reports about art are scaring Melissa.	The reports about art was scaring Melissa.	-520.0	-504.0	-58.0	-56.0	False	False	morphology	subject_verb_agreement
31	1	A brochure about the Balkans doesn't impress Erin.	A brochure about the Balkans don't impress Erin.	-520.0	-516.0	-47.25	-46.75	False	False	morphology	subject_verb_agreement
32	1	The sons of Victoria long to waste away.	The sons of Victoria longs to waste away.	-496.0	-520.0	-55.0	-58.0	True	True	morphology	subject_verb_agreement
33	1	The report about the Impressionists hasn't sounded like Joel.	The report about the Impressionists haven't sounded like Joel.	-596.0	-588.0	-45.75	-45.25	False	False	morphology	subject_verb_agreement
34	1	The commentaries about politics have bothered this senator.	The commentaries about politics has bothered this senator.	-568.0	-532.0	-63.0	-59.25	False	False	morphology	subject_verb_agreement
35	1	A son of some actors spurs the actress to aggravate the child.	A son of some actors spur the actress to aggravate the child.	-556.0	-564.0	-42.75	-43.5	True	True	morphology	subject_verb_agreement
36	1	The shows about Monet weren't scaring Liam.	The shows about Monet wasn't scaring Liam.	-604.0	-596.0	-55.0	-54.25	False	False	morphology	subject_verb_agreement
37	1	The granddaughters of Michelle do shrug.	The granddaughters of Michelle does shrug.	-494.0	-480.0	-70.5	-68.5	False	False	morphology	subject_verb_agreement
38	1	The painting of a lot of sweaters resembles some drawings.	The painting of a lot of sweaters resemble some drawings.	-596.0	-608.0	-54.0	-55.5	True	True	morphology	subject_verb_agreement
39	1	The pamphlets about Winston Churchill have resembled those photographs.	The pamphlets about Winston Churchill has resembled those photographs.	-560.0	-548.0	-56.0	-54.75	False	False	morphology	subject_verb_agreement
40	1	The drawing of these pants exists.	The drawing of these pants exist.	-400.0	-410.0	-57.25	-58.75	True	True	morphology	subject_verb_agreement
41	1	The grandsons of Theodore are pressuring Steven's supervisors to flee from Maria.	The grandsons of Theodore is pressuring Steven's supervisors to flee from Maria.	-640.0	-640.0	-40.0	-40.0	False	False	morphology	subject_verb_agreement
42	1	The granddaughters of Amanda hug Noah.	The granddaughters of Amanda hugs Noah.	-464.0	-486.0	-66.0	-69.5	True	True	morphology	subject_verb_agreement
43	1	The plays about Harvard University weren't worrying Douglas.	The plays about Harvard University wasn't worrying Douglas.	-556.0	-556.0	-50.5	-50.5	False	False	morphology	subject_verb_agreement
44	1	The stories about literature have irritated Clyde.	The stories about literature has irritated Clyde.	-480.0	-458.0	-60.0	-57.25	False	False	morphology	subject_verb_agreement
45	1	A story about the Impressionists worries all teachers.	A story about the Impressionists worry all teachers.	-462.0	-468.0	-46.25	-47.0	True	True	morphology	subject_verb_agreement
