sent_id	layer	sentence_good	sentence_bad	sent1_logprob	sent2_logprob	sent1_avg_logprob	sent2_avg_logprob	sent1_logprob_greater	sent1_avg_logprob_greater	field	linguistics_term
0	1	Only the grandsons of the Impressionists who Colleen is appreciating ever encourage Phillip to stretch.	The grandsons of the Impressionists who only Colleen is appreciating ever encourage Phillip to stretch.	-238.0	-249.0	-14.875	-15.5625	True	True	syntax_semantics	npi_licensing
1	1	Only that story about Monet that Mark would research does ever worry Richard.	That story about Monet that only Mark would research does ever worry Richard.	-186.0	-192.0	-14.25	-14.8125	True	True	syntax_semantics	npi_licensing
2	1	Only a popsicle that Danielle admires ever freezes.	A popsicle that only Danielle admires ever freezes.	-145.0	-148.0	-18.125	-18.5	True	True	syntax_semantics	npi_licensing
3	1	Only Naomi's sisters that Martin had questioned ever seem to look like a light.	Naomi's sisters that only Martin had questioned ever seem to look like a light.	-223.0	-195.0	-13.9375	-12.1875	False	False	syntax_semantics	npi_licensing
4	1	Only those companies that these associations stun had ever enticed Benjamin's ex-husband to write.	Those companies that only these associations stun had ever enticed Benjamin's ex-husband to write.	-254.0	-262.0	-14.125	-14.5	True	True	syntax_semantics	npi_licensing
5	1	Only many people who George likes ever clashed.	Many people who only George likes ever clashed.	-120.0	-114.5	-15.0	-14.3125	False	False	syntax_semantics	npi_licensing
6	1	Only Tammy's plumber who a pedestrian has respected ever knows some actors.	Tammy's plumber who only a pedestrian has respected ever knows some actors.	-215.0	-217.0	-15.375	-14.4375	True	False	syntax_semantics	npi_licensing
7	1	Only Douglas's ex-husbands who all photographs looked like ever hurts Peter.	Douglas's ex-husbands who only all photographs looked like ever hurts Peter.	-231.0	-234.0	-14.4375	-14.625	True	True	syntax_semantics	npi_licensing
8	1	Only those doctors who Karla respects ever conceal many snakes.	Those doctors who only Karla respects ever conceal many snakes.	-157.0	-159.0	-15.6875	-15.9375	True	True	syntax_semantics	npi_licensing
9	1	Only a cousin of Lucille that a lot of rivers have hurt ever learned who have married.	A cousin of Lucille that only a lot of rivers have hurt ever learned who have married.	-253.0	-251.0	-14.875	-14.75	False	False	syntax_semantics	npi_licensing
10	1	Only Katherine's podiatrist who Sheila discusses ever conceals Mary.	Katherine's podiatrist who only Sheila discusses ever conceals Mary.	-220.0	-205.0	-18.25	-17.125	False	False	syntax_semantics	npi_licensing
11	1	Only every government that Lawrence confused has ever respected Dana.	Every government that only Lawrence confused has ever respected Dana.	-168.0	-163.0	-16.875	-16.375	False	False	syntax_semantics	npi_licensing
12	1	Only cashiers' piano teachers that Judy does attack ever disturbed patients.	Cashiers' piano teachers that only Judy does attack ever disturbed patients.	-206.0	-200.0	-15.875	-15.375	False	False	syntax_semantics	npi_licensing
13	1	Only these shirts that paintings have looked like could ever soak.	These shirts that only paintings have looked like could ever soak.	-163.0	-157.0	-14.8125	-14.25	False	False	syntax_semantics	npi_licensing
14	1	Only cashiers that broccoli was distracting had ever thought about a face.	Cashiers that only broccoli was distracting had ever thought about a face.	-193.0	-181.0	-14.8125	-13.9375	False	False	syntax_semantics	npi_licensing
15	1	Only many bicycles that the Impressionists break ever worried the patients.	Many bicycles that only the Impressionists break ever worried the patients.	-159.0	-155.0	-13.25	-12.9375	False	False	syntax_semantics	npi_licensing
16	1	Only Kayla's contractors that these universities have listened to ever die.	Kayla's contractors that only these universities have listened to ever die.	-184.0	-202.0	-14.125	-14.4375	True	True	syntax_semantics	npi_licensing
17	1	Only most grandsons of Wendy who many books disagree with did ever train.	Most grandsons of Wendy who only many books disagree with did ever train.	-188.0	-191.0	-14.4375	-14.75	True	True	syntax_semantics	npi_licensing
18	1	Only every grandson of Adam who many paintings should look like ever climbed up hills.	Every grandson of Adam who only many paintings should look like ever climbed up hills.	-194.0	-192.0	-12.9375	-12.8125	False	False	syntax_semantics	npi_licensing
19	1	Only many plays that Craig had discovered ever bothered Monet.	Many plays that only Craig had discovered ever bothered Monet.	-163.0	-151.0	-16.25	-15.125	False	False	syntax_semantics	npi_licensing
20	1	Only John's teacher that Natalie examines might ever hide away.	John's teacher that only Natalie examines might ever hide away.	-184.0	-186.0	-15.3125	-15.4375	True	True	syntax_semantics	npi_licensing
21	1	Only these scarves that Brad has have ever loosened.	These scarves that only Brad has have ever loosened.	-138.0	-131.0	-15.375	-14.5625	False	False	syntax_semantics	npi_licensing
22	1	Only this hat that those pictures looked like ever unfolds.	This hat that only those pictures looked like ever unfolds.	-142.0	-146.0	-14.25	-14.625	True	True	syntax_semantics	npi_licensing
23	1	Only Martha's student that the boy questioned ever descends most hills.	Martha's student that only the boy questioned ever descends most hills.	-174.0	-166.0	-13.375	-12.75	False	False	syntax_semantics	npi_licensing
24	1	Only some mirrors that Galileo discovers ever chip.	Some mirrors that only Galileo discovers ever chip.	-134.0	-131.0	-16.75	-16.375	False	False	syntax_semantics	npi_licensing
25	1	Only some waiters who every guy has approached ever tried to wake up.	Some waiters who only every guy has approached ever tried to wake up.	-179.0	-179.0	-13.8125	-13.75	False	False	syntax_semantics	npi_licensing
26	1	Only most ladies' supervisor who Amy has kissed ever studies.	Most ladies' supervisor who only Amy has kissed ever studies.	-175.0	-171.0	-15.9375	-15.5	False	False	syntax_semantics	npi_licensing
27	1	Only Kendra's French teacher who Brenda fired might ever admire Valerie.	Kendra's French teacher who only Brenda fired might ever admire Valerie.	-242.0	-250.0	-18.625	-17.875	True	False	syntax_semantics	npi_licensing
28	1	Only steak that Irene notices ever scorched.	Steak that only Irene notices ever scorched.	-132.0	-147.0	-18.75	-18.375	True	False	syntax_semantics	npi_licensing
29	1	Only this grandson of Sarah who all waitresses are investigating had ever discovered Walter to remember a lot of guys.	This grandson of Sarah who only all waitresses are investigating had ever discovered Walter to remember a lot of guys.	-276.0	-276.0	-13.75	-13.8125	False	True	syntax_semantics	npi_licensing
30	1	Only that actress's senator that Regina was alarming ever concurs.	That actress's senator that only Regina was alarming ever concurs.	-196.0	-205.0	-16.375	-17.125	True	True	syntax_semantics	npi_licensing
31	1	Only those guys that Edward had listened to had ever brought the coat.	Those guys that only Edward had listened to had ever brought the coat.	-182.0	-188.0	-14.0	-14.4375	True	True	syntax_semantics	npi_licensing
32	1	Only the sock that Larry admires ever warped.	The sock that only Larry admires ever warped.	-152.0	-165.0	-19.0	-20.625	True	True	syntax_semantics	npi_licensing
33	1	Only that teenager who that hospital has forgotten ever cleaned these art galleries.	That teenager who only that hospital has forgotten ever cleaned these art galleries.	-181.0	-189.0	-13.9375	-14.5	True	True	syntax_semantics	npi_licensing
34	1	Only Frank's teacher that Monet hates had ever ascended the mountains.	Frank's teacher that only Monet hates had ever ascended the mountains.	-190.0	-185.0	-14.5625	-14.25	False	False	syntax_semantics	npi_licensing
35	1	Only Heather's sons that Jerry aggravated had ever struggled.	Heather's sons that only Jerry aggravated had ever struggled.	-178.0	-167.0	-16.125	-15.1875	False	False	syntax_semantics	npi_licensing
36	1	Only Alan's associate who a guest remembers ever resembles a painting.	Alan's associate who only a guest remembers ever resembles a painting.	-200.0	-200.0	-15.375	-15.375	False	False	syntax_semantics	npi_licensing
37	1	Only many actresses who Melinda fled from had ever needed Vincent to litter.	Many actresses who only Melinda fled from had ever needed Vincent to litter.	-200.0	-194.0	-15.375	-14.9375	False	False	syntax_semantics	npi_licensing
38	1	Only Randolf's grandmother who a lot of guys can aggravate had ever needed to discuss Brad.	Randolf's grandmother who only a lot of guys can aggravate had ever needed to discuss Brad.	-266.0	-262.0	-13.9375	-13.8125	False	False	syntax_semantics	npi_licensing
39	1	Only every grandmother of Connie that all waiters are boring had ever known who will regret most shirts were folding.	Every grandmother of Connie that only all waiters are boring had ever known who will regret most shirts were folding.	-312.0	-312.0	-15.625	-15.625	False	False	syntax_semantics	npi_licensing
40	1	Only these glaciers that Carl arrives at ever appear.	These glaciers that only Carl arrives at ever appear.	-127.5	-121.0	-14.1875	-13.4375	False	False	syntax_semantics	npi_licensing
41	1	Only the actor that Adam works with ever thinks about Grace.	The actor that only Adam works with ever thinks about Grace.	-151.0	-158.0	-13.75	-14.4375	True	True	syntax_semantics	npi_licensing
42	1	Only most dresses that Douglas buys can ever flatten.	Most dresses that only Douglas buys can ever flatten.	-142.0	-141.0	-15.8125	-15.625	False	False	syntax_semantics	npi_licensing
43	1	Only a lot of associations that Catherine questions had ever conferred.	A lot of associations that only Catherine questions had ever conferred.	-168.0	-171.0	-15.3125	-15.5625	True	True	syntax_semantics	npi_licensing
44	1	Only Christine's ex-boyfriend who some teenagers work with ever obliges Eva to pass some hospital.	Christine's ex-boyfriend who only some teenagers work with ever obliges Eva to pass some hospital.	-284.0	-278.0	-14.25	-13.875	False	False	syntax_semantics	npi_licensing
45	1	Only glasses that Tammy was messing up can ever soak.	Glasses that only Tammy was messing up can ever soak.	-158.0	-176.0	-15.8125	-15.9375	True	True	syntax_semantics	npi_licensing
46	1	Only the granddaughter of Sabrina who Randolf sounds like does ever hope to see.	The granddaughter of Sabrina who only Randolf sounds like does ever hope to see.	-221.0	-236.0	-14.75	-15.6875	True	True	syntax_semantics	npi_licensing
47	1	Only some patient's tutors that that committee works with should ever hide.	Some patient's tutors that only that committee works with should ever hide.	-187.0	-189.0	-13.375	-13.5	True	True	syntax_semantics	npi_licensing
48	1	Only Elizabeth's doctor who Homer kissed ever remembers Rachel.	Elizabeth's doctor who only Homer kissed ever remembers Rachel.	-189.0	-171.0	-17.125	-15.5625	False	False	syntax_semantics	npi_licensing
49	1	Only the cup that Marcus admired can ever slip.	The cup that only Marcus admired can ever slip.	-157.0	-172.0	-17.5	-19.125	True	True	syntax_semantics	npi_licensing
50	1	Only the woman who those guests conceal ever went to a lot of libraries.	The woman who only those guests conceal ever went to a lot of libraries.	-172.0	-186.0	-12.25	-13.3125	True	True	syntax_semantics	npi_licensing
51	1	Only the grandson of Christina who most teachers hate ever weeps.	The grandson of Christina who only most teachers hate ever weeps.	-184.0	-194.0	-15.3125	-16.125	True	True	syntax_semantics	npi_licensing
52	1	Only this student that Omar has talked to could ever believe Sherry to mutter.	This student that only Omar has talked to could ever believe Sherry to mutter.	-221.0	-225.0	-15.8125	-16.125	True	True	syntax_semantics	npi_licensing
