sent_id	layer	sentence_good	sentence_bad	sent1_logprob	sent2_logprob	sent1_avg_logprob	sent2_avg_logprob	sent1_logprob_greater	sent1_avg_logprob_greater	field	linguistics_term	instruction
0	1	The teenager does tour at most nine restaurants.	No teenager does tour at most nine restaurants.	-116.0	-116.0	-12.875	-12.9375	False	True	semantics	quantifiers	Write a natural, coherent English sentence.
1	1	That car looks like at least seven prints.	No car looks like at least seven prints.	-99.5	-99.0	-11.0625	-11.0	False	False	semantics	quantifiers	Write a natural, coherent English sentence.
2	1	The doctor brought at most eight gates.	No doctor brought at most eight gates.	-95.0	-96.0	-11.875	-12.0	True	True	semantics	quantifiers	Write a natural, coherent English sentence.
3	1	An actor arrived at at most six lakes.	No actor arrived at at most six lakes.	-103.0	-102.5	-11.4375	-11.4375	False	False	semantics	quantifiers	Write a natural, coherent English sentence.
4	1	Every senator notices at most four windows.	No senator notices at most four windows.	-99.5	-97.0	-12.4375	-12.125	False	False	semantics	quantifiers	Write a natural, coherent English sentence.
5	1	The hospital had fired at most four people.	No hospital had fired at most four people.	-106.5	-108.5	-11.875	-12.0625	True	True	semantics	quantifiers	Write a natural, coherent English sentence.
6	1	Each customer has watched at least six teenagers.	No customer has watched at least six teenagers.	-100.5	-100.5	-11.1875	-11.125	False	False	semantics	quantifiers	Write a natural, coherent English sentence.
7	1	Every girl climbed up at most ten hills.	No girl climbed up at most ten hills.	-103.5	-105.0	-11.5	-11.6875	True	True	semantics	quantifiers	Write a natural, coherent English sentence.
8	1	Each actor has revealed at most four shawls.	No actor has revealed at most four shawls.	-118.0	-118.5	-11.8125	-11.8125	True	False	semantics	quantifiers	Write a natural, coherent English sentence.
9	1	A banana has disgusted at least ten women.	No banana has disgusted at least ten women.	-106.0	-106.0	-11.75	-11.8125	False	True	semantics	quantifiers	Write a natural, coherent English sentence.
10	1	Each dancer would return to at least seven schools.	No dancer would return to at least seven schools.	-113.0	-111.5	-11.3125	-11.125	False	False	semantics	quantifiers	Write a natural, coherent English sentence.
11	1	The waiter noticed at most six mountains.	No waiter noticed at most six mountains.	-101.0	-100.0	-12.625	-12.5	False	False	semantics	quantifiers	Write a natural, coherent English sentence.
12	1	This man is talking to at most three pedestrians.	No man is talking to at most three pedestrians.	-118.0	-120.0	-11.75	-12.0	True	True	semantics	quantifiers	Write a natural, coherent English sentence.
13	1	That person can lift at most nine turtles.	No person can lift at most nine turtles.	-108.5	-107.5	-12.0625	-11.9375	False	False	semantics	quantifiers	Write a natural, coherent English sentence.
14	1	The customer could kiss at most three girls.	No customer could kiss at most three girls.	-111.0	-111.5	-12.3125	-12.4375	True	True	semantics	quantifiers	Write a natural, coherent English sentence.
15	1	Every university bought at most ten scarves.	No university bought at most ten scarves.	-101.0	-100.0	-12.625	-12.5	False	False	semantics	quantifiers	Write a natural, coherent English sentence.
16	1	Every person has exited at most four libraries.	No person has exited at most four libraries.	-107.0	-107.0	-11.875	-11.875	False	False	semantics	quantifiers	Write a natural, coherent English sentence.
17	1	Some car had resembled at least seven pictures.	No car had resembled at least seven pictures.	-101.0	-99.5	-11.25	-11.0625	False	False	semantics	quantifiers	Write a natural, coherent English sentence.
18	1	This actress was driving to at least nine malls.	No actress was driving to at least nine malls.	-114.0	-115.5	-11.4375	-11.5625	True	True	semantics	quantifiers	Write a natural, coherent English sentence.
19	1	Every man walked through at least nine hospitals.	No man walked through at least nine hospitals.	-102.5	-103.5	-11.375	-11.5	True	True	semantics	quantifiers	Write a natural, coherent English sentence.
