sent_id	layer	sentence_good	sentence_bad	sent1_logprob	sent2_logprob	sent1_avg_logprob	sent2_avg_logprob	sent1_logprob_greater	sent1_avg_logprob_greater	field	linguistics_term
0	1	A lot of nieces of some actor aren't scared.	A lot of nieces of some actor aren't wept.	-154.0	-167.0	-14.0	-15.125	True	True	syntax	argument_structure
1	1	Mitchell's grandfathers are forgotten.	Mitchell's grandfathers are concurred.	-80.0	-93.0	-11.4375	-13.25	True	True	syntax	argument_structure
2	1	The Clintons were attacked.	The Clintons were replied.	-77.0	-84.0	-19.25	-21.0	True	True	syntax	argument_structure
3	1	Most cashiers are disliked.	Most cashiers are flirted.	-82.5	-90.0	-16.5	-18.0	True	True	syntax	argument_structure
4	1	A lot of libraries were distracted.	A lot of libraries were communicated.	-91.5	-83.5	-15.25	-13.875	False	False	syntax	argument_structure
5	1	Kristen wasn't visited.	Kristen wasn't muttered.	-65.5	-78.0	-13.0625	-15.5625	True	True	syntax	argument_structure
6	1	Stephen was disliked.	Stephen was laughed.	-58.0	-62.5	-19.25	-20.875	True	True	syntax	argument_structure
7	1	Steve isn't disliked.	Steve isn't lied.	-81.0	-79.5	-16.25	-15.875	False	False	syntax	argument_structure
8	1	The actresses weren't bored.	The actresses weren't retaliated.	-100.0	-102.0	-16.625	-17.0	True	True	syntax	argument_structure
9	1	Mary wasn't known.	Mary wasn't cried.	-67.0	-79.5	-13.375	-15.9375	True	True	syntax	argument_structure
10	1	Many teachers aren't visited.	Many teachers aren't conspired.	-79.0	-90.5	-13.125	-15.125	True	True	syntax	argument_structure
11	1	Leslie's piano teachers were hired.	Leslie's piano teachers were flirted.	-112.5	-120.5	-16.125	-17.25	True	True	syntax	argument_structure
12	1	Most actors are described.	Most actors are corresponded.	-56.75	-61.75	-14.1875	-15.4375	True	True	syntax	argument_structure
13	1	Some guy's granddaughter was investigated.	Some guy's granddaughter was screamed.	-101.0	-116.5	-14.4375	-16.625	True	True	syntax	argument_structure
14	1	Edward was hurt.	Edward was spoken up.	-50.0	-54.0	-16.625	-13.5	True	False	syntax	argument_structure
15	1	All companies are bothered.	All companies are argued.	-63.5	-67.0	-15.875	-16.75	True	True	syntax	argument_structure
16	1	Winston Churchill's French teachers aren't loved.	Winston Churchill's French teachers aren't clashed.	-134.0	-143.0	-13.4375	-14.3125	True	True	syntax	argument_structure
17	1	Vincent's partners aren't astounded.	Vincent's partners aren't waved.	-104.5	-112.5	-13.0625	-14.0625	True	True	syntax	argument_structure
18	1	Bill was disturbed.	Bill was left.	-42.0	-40.25	-14.0625	-13.4375	False	False	syntax	argument_structure
19	1	Cindy was insulted.	Cindy was lied.	-54.25	-51.5	-18.0	-17.125	False	False	syntax	argument_structure
20	1	Jodi's lawyers were praised.	Jodi's lawyers were struggled.	-100.5	-100.0	-14.3125	-14.25	False	False	syntax	argument_structure
21	1	Most adults' mentees aren't admired.	Most adults' mentees aren't gone fishing.	-124.0	-129.0	-13.75	-12.875	True	False	syntax	argument_structure
22	1	Paul was kissed.	Paul was screamed.	-63.25	-60.0	-21.125	-20.0	False	False	syntax	argument_structure
23	1	Many patients were impressed.	Many patients were chatted.	-63.0	-70.5	-15.75	-17.625	True	True	syntax	argument_structure
24	1	Carl's daughter is fired.	Carl's daughter is shouted.	-86.0	-94.0	-14.3125	-15.625	True	True	syntax	argument_structure
25	1	The mother of Steve is annoyed.	The mother of Steve is sighed.	-107.0	-110.0	-17.75	-18.375	True	True	syntax	argument_structure
26	1	Kristin's brothers are astounded.	Kristin's brothers are corresponded.	-86.5	-90.0	-14.4375	-15.0	True	True	syntax	argument_structure
27	1	Eric isn't described.	Eric isn't concurred.	-81.5	-91.5	-16.25	-18.25	True	True	syntax	argument_structure
28	1	Many dancers weren't disagreed with.	Many dancers weren't worked hard.	-92.5	-91.0	-13.25	-13.0	False	False	syntax	argument_structure
29	1	Homer's teachers weren't scanned.	Homer's teachers weren't clashed.	-127.0	-134.0	-14.0625	-14.9375	True	True	syntax	argument_structure
30	1	Carlos wasn't scared.	Carlos wasn't trained.	-67.0	-67.0	-13.375	-13.375	False	False	syntax	argument_structure
31	1	Those guests weren't discussed.	Those guests weren't flirted.	-87.0	-97.0	-14.5	-16.125	True	True	syntax	argument_structure
32	1	These people aren't admired.	These people aren't corresponded.	-73.5	-71.5	-12.25	-11.9375	False	False	syntax	argument_structure
33	1	Carla isn't hugged.	Carla isn't wept.	-90.5	-88.5	-18.125	-17.625	False	False	syntax	argument_structure
34	1	Some government isn't bothered.	Some government isn't communicated.	-76.0	-84.0	-12.6875	-14.0	True	True	syntax	argument_structure
35	1	Craig wasn't bothered.	Craig wasn't grinned.	-61.5	-76.5	-12.3125	-15.3125	True	True	syntax	argument_structure
