sent_id	layer	sentence_good	sentence_bad	sent1_logprob	sent2_logprob	sent1_avg_logprob	sent2_avg_logprob	sent1_logprob_greater	sent1_avg_logprob_greater	field	linguistics_term	instruction
0	1	No girl attacked fewer than two waiters.	No girl attacked at most two waiters.	-109.0	-110.5	-12.125	-12.25	True	True	semantics	quantifiers	Write a natural, coherent English sentence.
1	1	No person would bring fewer than three gates.	No person would bring at most three gates.	-110.0	-111.0	-12.25	-12.375	True	True	semantics	quantifiers	Write a natural, coherent English sentence.
2	1	No actor had driven to fewer than four malls.	No actor had driven to at most four malls.	-121.5	-123.0	-12.1875	-12.25	True	True	semantics	quantifiers	Write a natural, coherent English sentence.
3	1	No pedestrian is observing more than seven waiters.	No pedestrian is observing at least seven waiters.	-122.5	-123.0	-12.25	-12.25	True	False	semantics	quantifiers	Write a natural, coherent English sentence.
4	1	No boy could reference fewer than nine drivers.	No boy could reference at most nine drivers.	-110.0	-111.0	-12.1875	-12.3125	True	True	semantics	quantifiers	Write a natural, coherent English sentence.
5	1	No actor has sounded like more than nine mountains.	No actor has sounded like at least nine mountains.	-122.5	-122.5	-12.25	-12.25	False	False	semantics	quantifiers	Write a natural, coherent English sentence.
6	1	No sock annoyed more than seven companies.	No sock annoyed at least seven companies.	-97.0	-97.0	-12.125	-12.125	False	False	semantics	quantifiers	Write a natural, coherent English sentence.
7	1	No man has revealed more than five forks.	No man has revealed at least five forks.	-109.5	-110.0	-12.1875	-12.25	True	True	semantics	quantifiers	Write a natural, coherent English sentence.
8	1	No customer would resemble more than eight pictures.	No customer would resemble at least eight pictures.	-110.5	-111.0	-12.25	-12.3125	True	True	semantics	quantifiers	Write a natural, coherent English sentence.
9	1	No waiter had referenced more than ten teenagers.	No waiter had referenced at least ten teenagers.	-110.0	-110.0	-12.25	-12.25	False	False	semantics	quantifiers	Write a natural, coherent English sentence.
10	1	No adult skated around more than seven lakes.	No adult skated around at least seven lakes.	-122.5	-122.5	-12.25	-12.25	False	False	semantics	quantifiers	Write a natural, coherent English sentence.
11	1	No woman exited fewer than five public parks.	No woman exited at most five public parks.	-109.0	-110.0	-12.125	-12.1875	True	True	semantics	quantifiers	Write a natural, coherent English sentence.
12	1	No hamster had climbed down more than five hills.	No hamster had climbed down at least five hills.	-134.0	-134.0	-12.125	-12.1875	False	True	semantics	quantifiers	Write a natural, coherent English sentence.
13	1	No university might confuse fewer than four men.	No university might confuse at most four men.	-109.5	-110.5	-12.1875	-12.3125	True	True	semantics	quantifiers	Write a natural, coherent English sentence.
