sent_id	layer	sentence_good	sentence_bad	sent1_logprob	sent2_logprob	sent1_avg_logprob	sent2_avg_logprob	sent1_logprob_greater	sent1_avg_logprob_greater	field	linguistics_term
0	1	It's himself that this cashier attacked.	It's himself that attacked this cashier.	-1384.0	-1400.0	-154.0	-155.0	True	True	syntax_semantics	binding
1	1	It's herself that Andrea attacked.	It's herself that attacked Andrea.	-1344.0	-1360.0	-168.0	-170.0	True	True	syntax_semantics	binding
2	1	It's herself that Sharon talked about.	It's herself that talked about Sharon.	-1400.0	-1392.0	-155.0	-155.0	False	False	syntax_semantics	binding
3	1	It's himself that Todd described.	It's himself that described Todd.	-1344.0	-1368.0	-168.0	-171.0	True	True	syntax_semantics	binding
4	1	It's themselves that some spotlights astounded.	It's themselves that astounded some spotlights.	-1504.0	-1504.0	-150.0	-150.0	False	False	syntax_semantics	binding
5	1	It's herself who Karen criticized.	It's herself who criticized Karen.	-1344.0	-1368.0	-168.0	-171.0	True	True	syntax_semantics	binding
6	1	It's itself that some ice isn't stunning.	It's itself that isn't stunning some ice.	-1528.0	-1544.0	-127.5	-129.0	True	True	syntax_semantics	binding
7	1	It's himself who Robert discusses.	It's himself who discusses Robert.	-1360.0	-1360.0	-170.0	-170.0	False	False	syntax_semantics	binding
8	1	It's herself who Judy wasn't firing.	It's herself who wasn't firing Judy.	-1472.0	-1464.0	-134.0	-133.0	False	False	syntax_semantics	binding
9	1	It's herself that Carmen won't stun.	It's herself that won't stun Carmen.	-1456.0	-1440.0	-132.0	-131.0	False	False	syntax_semantics	binding
10	1	It's herself who Gina did work with.	It's herself who did work with Gina.	-1472.0	-1448.0	-147.0	-145.0	False	False	syntax_semantics	binding
11	1	It's itself that that pork would stun.	It's itself that would stun that pork.	-1424.0	-1432.0	-143.0	-143.0	True	False	syntax_semantics	binding
12	1	It's itself that this committee has referenced.	It's itself that has referenced this committee.	-1408.0	-1440.0	-141.0	-144.0	True	True	syntax_semantics	binding
13	1	It's herself that Allison couldn't insult.	It's herself that couldn't insult Allison.	-1472.0	-1512.0	-134.0	-137.0	True	True	syntax_semantics	binding
14	1	It's themselves that many college campuses haven't disgusted.	It's themselves that haven't disgusted many college campuses.	-1576.0	-1592.0	-121.0	-122.0	True	True	syntax_semantics	binding
15	1	It's himself that Guy likes.	It's himself that likes Guy.	-1352.0	-1368.0	-169.0	-171.0	True	True	syntax_semantics	binding
16	1	It's himself who Bill astounded.	It's himself who astounded Bill.	-1424.0	-1400.0	-158.0	-155.0	False	False	syntax_semantics	binding
17	1	It's herself that Rose had talked to.	It's herself that had talked to Rose.	-1400.0	-1376.0	-140.0	-138.0	False	False	syntax_semantics	binding
18	1	It's himself who Robert attacked.	It's himself who attacked Robert.	-1344.0	-1376.0	-168.0	-172.0	True	True	syntax_semantics	binding
19	1	It's herself who Jodi stunned.	It's herself who stunned Jodi.	-1344.0	-1344.0	-168.0	-168.0	False	False	syntax_semantics	binding
20	1	It's themselves that all dishes weren't distracting.	It's themselves that weren't distracting all dishes.	-1568.0	-1552.0	-131.0	-129.0	False	False	syntax_semantics	binding
21	1	It's themselves that some legislatures can't astound.	It's themselves that can't astound some legislatures.	-1600.0	-1616.0	-123.0	-124.0	True	True	syntax_semantics	binding
22	1	It's itself that the cake isn't alarming.	It's itself that isn't alarming the cake.	-1488.0	-1512.0	-124.5	-126.0	True	True	syntax_semantics	binding
