sent_id	layer	sentence_good	sentence_bad	sent1_logprob	sent2_logprob	sent1_avg_logprob	sent2_avg_logprob	sent1_logprob_greater	sent1_avg_logprob_greater	field	linguistics_term	instruction
0	1	Tina revealed Margaret.	The horse revealed Margaret.	-52.0	-52.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
1	1	Danielle visited Irene.	The eye visited Irene.	-62.25	-62.25	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
2	1	Paul runs around the art galleries.	The river runs around the art galleries.	-93.5	-104.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
3	1	Most banks have praised Raymond.	The jackets have praised Raymond.	-62.25	-72.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
4	1	Every doctor was selling some restaurants.	A cup was selling some restaurants.	-72.5	-72.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
5	1	Steve bikes to a public park.	Every fork bikes to a public park.	-83.0	-93.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
6	1	Beth scares Roger.	A carriage scares Roger.	-52.0	-62.25	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
7	1	Melissa will clean a gate.	This mouth will clean a gate.	-72.5	-72.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
8	1	Tanya conceals Adam.	This ice cream conceals Adam.	-62.25	-72.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
9	1	Renee had praised Eric.	The beef had praised Eric.	-72.5	-62.25	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
10	1	Mark hasn't respected a lot of actors.	Every government hasn't respected a lot of actors.	-104.0	-114.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
11	1	Matt could argue about Bethany.	Every mall could argue about Bethany.	-72.5	-93.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
12	1	Kathleen can't fix every carriage.	Some newspaper article can't fix every carriage.	-93.5	-104.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
13	1	Denise wasn't referencing Homer.	Rice wasn't referencing Homer.	-104.0	-93.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
14	1	Vanessa visits Judy.	The ice cream visits Judy.	-62.25	-72.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
15	1	Beverly would scan a movie.	A pepper would scan a movie.	-72.5	-72.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
16	1	Liam has respected many waiters.	That banana has respected many waiters.	-83.0	-93.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
17	1	Some person hadn't passed all high schools.	That casserole hadn't passed all high schools.	-104.0	-124.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
18	1	Carlos has sounded like all hospitals.	This ice has sounded like all hospitals.	-72.5	-83.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
19	1	Wendy walked through some schools.	The spotlight walked through some schools.	-72.5	-83.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
20	1	Steve hasn't returned to a dancer.	The nose hasn't returned to a dancer.	-104.0	-114.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
21	1	Anne wasn't thinking about Paula.	Art wasn't thinking about Paula.	-93.5	-93.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
22	1	Some women were scanning the essay.	A lot of dishes were scanning the essay.	-83.0	-104.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
23	1	Victoria wouldn't insult a man.	That unicycle wouldn't insult a man.	-83.0	-114.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
24	1	Peter isn't thinking about a lot of schools.	Some turtle isn't thinking about a lot of schools.	-114.0	-145.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
25	1	Samuel shouldn't hate Susan.	Art shouldn't hate Susan.	-72.5	-72.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
26	1	Karla drives to every grocery store.	This chair drives to every grocery store.	-83.0	-83.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
27	1	Omar isn't talking to Erin.	A legislature isn't talking to Erin.	-104.0	-114.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
28	1	Galileo had talked to Stephanie.	This car had talked to Stephanie.	-93.5	-83.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
29	1	Mitchell criticized Amy.	Some art gallery criticized Amy.	-52.0	-72.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
30	1	Clyde couldn't forget Phillip.	That sketch couldn't forget Phillip.	-104.0	-93.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
31	1	Most companies have remembered Jesus.	These chairs have remembered Jesus.	-62.25	-62.25	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
32	1	Tina hasn't respected Florence.	Art hasn't respected Florence.	-83.0	-72.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
33	1	Phillip can talk to those waitresses.	This pasta can talk to those waitresses.	-104.0	-114.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
34	1	Matt discovered a lot of spotlights.	Every ladder discovered a lot of spotlights.	-83.0	-93.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
35	1	Gina talks to Joseph.	Fish talks to Joseph.	-62.25	-52.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
36	1	Kendra hasn't attacked some guys.	That window hasn't attacked some guys.	-104.0	-93.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
37	1	Ella discovered Matt.	This association discovered Matt.	-52.0	-52.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
38	1	Valerie isn't passing high schools.	A public park isn't passing high schools.	-93.5	-104.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
39	1	Carrie isn't listening to Jodi.	That movie theater isn't listening to Jodi.	-104.0	-114.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
40	1	Russell hasn't escaped from some museum.	That picture hasn't escaped from some museum.	-93.5	-104.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
41	1	This customer was arguing about Karen.	A report was arguing about Karen.	-72.5	-72.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
42	1	Roger will watch that guest.	Some beef will watch that guest.	-62.25	-72.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
43	1	Becky tours a lot of banks.	This rug tours a lot of banks.	-83.0	-83.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
44	1	Chad isn't observing that cashier.	This casserole isn't observing that cashier.	-114.0	-135.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
45	1	The girls weren't skated around a museum.	All snakes weren't skated around a museum.	-114.0	-124.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
46	1	Brad hasn't returned to most pedestrians.	This dish hasn't returned to most pedestrians.	-114.0	-124.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
47	1	Stacey toured the hill.	Some rice toured the hill.	-83.0	-72.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
48	1	Jodi boycotted the closets.	Every committee boycotted the closets.	-93.5	-93.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
49	1	Laura doesn't bring some boxes.	The painting doesn't bring some boxes.	-83.0	-93.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
50	1	Every lady lifts this gate.	This report lifts this gate.	-72.5	-72.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
51	1	Tanya admires Melanie.	Music admires Melanie.	-72.5	-62.25	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
52	1	Erin wouldn't drive to the hill.	The coat wouldn't drive to the hill.	-104.0	-104.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
53	1	Heidi hadn't concealed all socks.	The movie theater hadn't concealed all socks.	-104.0	-114.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
54	1	Natalie complains about Caroline.	A rabbit complains about Caroline.	-72.5	-83.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
55	1	Elaine might flee from Ronald.	That university might flee from Ronald.	-83.0	-83.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
56	1	Some associations are admiring Alexander.	The dishes are admiring Alexander.	-72.5	-72.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
57	1	Paula admired Kenneth.	Some river admired Kenneth.	-72.5	-72.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
58	1	Brenda dropped by a river.	This book dropped by a river.	-72.5	-72.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
59	1	A senator drops by every lake.	The muffin drops by every lake.	-83.0	-93.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
60	1	Carla can't watch Sara.	The tomato can't watch Sara.	-83.0	-93.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
61	1	Pamela reveals Dana.	That carriage reveals Dana.	-62.25	-62.25	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
62	1	Steven hasn't talked about Sara.	That window hasn't talked about Sara.	-83.0	-93.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
63	1	Every library isn't praising Alexander.	The tomato isn't praising Alexander.	-93.5	-104.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
64	1	Tamara hates Julia.	This ice hates Julia.	-62.25	-62.25	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
65	1	Alan messed up some college campus.	A gate messed up some college campus.	-83.0	-93.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
66	1	Paul fires Russell.	This truck fires Russell.	-41.5	-52.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
67	1	Beverly wasn't examining books.	The bike wasn't examining books.	-93.5	-93.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
68	1	Dawn hadn't forgotten Diana.	Some government hadn't forgotten Diana.	-83.0	-83.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
69	1	Ella has forgotten Michael.	Spain has forgotten Michael.	-62.25	-52.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
70	1	Alice fires Ruth.	Some plate fires Ruth.	-41.5	-52.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
71	1	A lot of actors bought mountains.	All horses bought mountains.	-72.5	-52.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
72	1	Amelia questioned Valerie.	The lake questioned Valerie.	-62.25	-62.25	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
73	1	Pamela hadn't attacked a lot of cashiers.	This coat hadn't attacked a lot of cashiers.	-124.5	-124.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
74	1	Leslie hadn't fixed this cart.	That sweater hadn't fixed this cart.	-93.5	-104.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
75	1	Douglas hadn't argued about Samuel.	The carriage hadn't argued about Samuel.	-83.0	-93.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
76	1	Kenneth isn't cleaning a jacket.	Spinach isn't cleaning a jacket.	-93.5	-104.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
77	1	Florence hadn't fled from banks.	Every university hadn't fled from banks.	-83.0	-93.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
78	1	Jill cleaned all ladders.	The door cleaned all ladders.	-83.0	-83.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
79	1	Some cashier isn't complaining about these ladies.	The sketch isn't complaining about these ladies.	-114.0	-104.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
80	1	Deborah drove to some college campuses.	Some commentary drove to some college campuses.	-104.0	-104.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
81	1	Theresa visits Patricia.	The nose visits Patricia.	-72.5	-72.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
82	1	Carl cleans this dress.	Bread cleans this dress.	-62.25	-72.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
83	1	Melanie won't notice Carol.	This ice cream won't notice Carol.	-83.0	-93.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
84	1	Russell was running around that school.	The sweater was running around that school.	-72.5	-93.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
85	1	Candice can't kiss these people.	Some high school can't kiss these people.	-93.5	-104.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
86	1	Matt was going to restaurants.	The cucumber was going to restaurants.	-62.25	-93.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
87	1	Every guest isn't leaving Eva.	Art isn't leaving Eva.	-83.0	-72.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
88	1	Dawn can't go to a mall.	Some window can't go to a mall.	-114.0	-114.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
89	1	Tonya hadn't healed most horses.	This dish hadn't healed most horses.	-104.0	-104.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
90	1	Kimberley bikes to the Great Lakes.	Every newspaper article bikes to the Great Lakes.	-114.0	-114.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
91	1	Wayne was attacking Cindy.	Every plane was attacking Cindy.	-72.5	-83.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
92	1	Emily hadn't questioned that actor.	Some pepper hadn't questioned that actor.	-83.0	-93.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
93	1	Deborah can't run around the Great Lakes.	A newspaper article can't run around the Great Lakes.	-135.0	-135.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
94	1	Aaron messed up these glasses.	That government messed up these glasses.	-72.5	-83.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
95	1	Lawrence fled from Brad.	Literature fled from Brad.	-52.0	-62.25	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
96	1	These dancers should investigate Caroline.	Glaciers should investigate Caroline.	-72.5	-72.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
97	1	Mitchell can't complain about Peter.	This window can't complain about Peter.	-83.0	-93.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
98	1	Every doctor wasn't describing a river.	This story wasn't describing a river.	-93.5	-93.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
99	1	Sally concealed Kirsten.	This beef concealed Kirsten.	-72.5	-83.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
100	1	Kendra might bike to a school.	Politics might bike to a school.	-93.5	-72.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
101	1	A lot of actresses lifted these glaciers.	The documentaries lifted these glaciers.	-114.0	-93.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
102	1	Many teenagers weren't observing Kathleen.	The museums weren't observing Kathleen.	-114.0	-114.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
103	1	Elizabeth describes Melissa.	This mushroom describes Melissa.	-52.0	-72.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
104	1	Janice cares for Melissa.	Every shawl cares for Melissa.	-72.5	-93.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
105	1	Benjamin wasn't breaking every glass.	This pasta wasn't breaking every glass.	-83.0	-104.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
106	1	Melanie is escaping from Emily.	Some dress is escaping from Emily.	-83.0	-83.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
107	1	Andrea forgets Becca.	That turtle forgets Becca.	-62.25	-93.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
108	1	Ann examines a lot of essays.	That company examines a lot of essays.	-83.0	-93.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
109	1	Emily had questioned Dennis.	Some company had questioned Dennis.	-52.0	-62.25	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
110	1	Most organizations helped Bill.	Most glasses helped Bill.	-52.0	-52.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
111	1	Andrew talks to Todd.	The cart talks to Todd.	-52.0	-62.25	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
112	1	Jacqueline insults all commentaries.	The tomato insults all commentaries.	-93.5	-93.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
113	1	Melinda hadn't insulted malls.	The ice hadn't insulted malls.	-104.0	-104.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
114	1	Jesus hugged Paul.	The snake hugged Paul.	-52.0	-62.25	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
115	1	Nicole isn't approaching Sabrina.	The window isn't approaching Sabrina.	-93.5	-104.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
116	1	The Impressionists were boycotting those cafes.	Most grocery stores were boycotting those cafes.	-135.0	-124.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
117	1	Melinda has hidden carts.	This high school has hidden carts.	-72.5	-83.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
118	1	Many girls boasted about Beverly.	Some dishes boasted about Beverly.	-83.0	-83.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
119	1	Kathleen could bring every rug.	A restaurant could bring every rug.	-72.5	-72.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
120	1	James examined these documentaries.	That report examined these documentaries.	-62.25	-72.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
121	1	Colleen walks through these restaurants.	This restaurant walks through these restaurants.	-72.5	-72.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
122	1	A dancer complained about most boys.	Some hamster complained about most boys.	-83.0	-83.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
123	1	Colleen was watching Robert.	That rabbit was watching Robert.	-62.25	-72.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
124	1	Patricia hadn't hidden those scarves.	A cafe hadn't hidden those scarves.	-114.0	-114.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
125	1	Renee works with Sheila.	That association works with Sheila.	-83.0	-72.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
126	1	Valerie boycotted a library.	The convertible boycotted a library.	-83.0	-93.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
127	1	Homer arrived at a mountain.	An eggplant arrived at a mountain.	-72.5	-83.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
128	1	Marie won't reference many patients.	The bird won't reference many patients.	-83.0	-93.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
129	1	Stacey investigates Veronica.	Art investigates Veronica.	-93.5	-72.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
130	1	Brenda was insulting Tina.	Some hair was insulting Tina.	-83.0	-83.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
131	1	Rachelle wasn't driving to the lake.	The drawing wasn't driving to the lake.	-104.0	-104.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
132	1	Laurie might watch Kayla.	A print might watch Kayla.	-83.0	-72.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
133	1	Laurie hides Keith.	Some newspaper article hides Keith.	-72.5	-72.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
134	1	This woman is referencing the doctor.	That spotlight is referencing the doctor.	-83.0	-93.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
135	1	Colleen doesn't bring a lot of stairs.	A picture doesn't bring a lot of stairs.	-114.0	-114.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
136	1	Lori is discovering the water.	The beef is discovering the water.	-83.0	-83.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
137	1	William wasn't concealing Linda.	Some candle wasn't concealing Linda.	-83.0	-93.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
138	1	Carmen could praise Christopher.	Some closet could praise Christopher.	-62.25	-62.25	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
139	1	These adults won't kiss Sheila.	The hospitals won't kiss Sheila.	-93.5	-93.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
140	1	Tammy ran around every river.	This truck ran around every river.	-72.5	-72.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
141	1	Emily hadn't kissed Kimberley.	Every coat hadn't kissed Kimberley.	-93.5	-104.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
142	1	Some doctor shouldn't attack the boys.	This ice shouldn't attack the boys.	-93.5	-93.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
143	1	Veronica descends every mountain.	Some organization descends every mountain.	-83.0	-72.5	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
144	1	Janet explores every lake.	Some shawl explores every lake.	-72.5	-93.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
145	1	Leslie had investigated Veronica.	Some eye had investigated Veronica.	-83.0	-83.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
146	1	Mitchell can't boast about David.	This popsicle can't boast about David.	-93.5	-124.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
147	1	Christopher talked to Karen.	Some fish talked to Karen.	-52.0	-62.25	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
148	1	John talks about this person.	This window talks about this person.	-62.25	-72.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
149	1	Most guests shouldn't return to some children.	Current events shouldn't return to some children.	-104.0	-104.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
150	1	Sara was messing up the mall.	Every screen was messing up the mall.	-93.5	-104.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
151	1	Melissa can reference Tracy.	That skateboard can reference Tracy.	-72.5	-93.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
152	1	Michelle walked through many glaciers.	That box walked through many glaciers.	-83.0	-93.5	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
153	1	Theresa has listened to Dana.	Every hill has listened to Dana.	-83.0	-83.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
154	1	David hadn't respected some pedestrians.	This face hadn't respected some pedestrians.	-104.0	-114.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
155	1	Frank wasn't buying a lot of rugs.	Every glacier wasn't buying a lot of rugs.	-114.0	-145.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
156	1	Mary has investigated Erin.	A college campus has investigated Erin.	-62.25	-83.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
157	1	Margaret cleaned all forks.	That high school cleaned all forks.	-62.25	-83.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
158	1	Melinda has gone to many college campuses.	Some drawing has gone to many college campuses.	-104.0	-104.0	-10.375	-10.375	False	False	syntax	s-selection	Write a natural, coherent English sentence.
159	1	Bruce saw Samuel.	That box saw Samuel.	-41.5	-52.0	-10.375	-10.375	True	False	syntax	s-selection	Write a natural, coherent English sentence.
