sent_id	layer	sentence_good	sentence_bad	sent1_logprob	sent2_logprob	sent1_avg_logprob	sent2_avg_logprob	sent1_logprob_greater	sent1_avg_logprob_greater	field	linguistics_term	instruction
0	1	The associations that had worried Cynthia have not ever planned to shock every actress.	The associations that had not worried Cynthia have ever planned to shock every actress.	-180.0	-180.0	-12.0	-12.0	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
1	1	Every son of Jerry who has insulted Jerry can not ever die.	Every son of Jerry who has not insulted Jerry can ever die.	-167.0	-167.0	-11.9375	-11.9375	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
2	1	Most pedestrians' tutors that have hired Alice can not ever kiss.	Most pedestrians' tutors that have not hired Alice can ever kiss.	-155.0	-155.0	-11.9375	-11.9375	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
3	1	The doctor that has referenced Diane might not ever move.	The doctor that has not referenced Diane might ever move.	-130.0	-131.0	-11.875	-11.875	True	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
4	1	Some glasses that did disturb Craig could not ever flatten.	Some glasses that did not disturb Craig could ever flatten.	-131.0	-131.0	-11.875	-11.875	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
5	1	Every skirt that has disgusted Beverly had not ever unfolded.	Every skirt that has not disgusted Beverly had ever unfolded.	-132.0	-132.0	-12.0	-12.0	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
6	1	Every plane that was aggravating this waiter could not ever accelerate.	Every plane that was not aggravating this waiter could ever accelerate.	-155.0	-155.0	-11.875	-11.875	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
7	1	Those turtles that are boring April could not ever break those couches.	Those turtles that are not boring April could ever break those couches.	-166.0	-167.0	-11.875	-11.9375	True	True	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
8	1	Every coat that did scare Nina has not ever wrinkled.	Every coat that did not scare Nina has ever wrinkled.	-144.0	-144.0	-12.0	-12.0	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
9	1	A lot of men who should hate Sharon can not ever struggle.	A lot of men who should not hate Sharon can ever struggle.	-155.0	-155.0	-11.9375	-11.875	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
10	1	Renee's piano teachers that had referenced Cindy could not ever refuse to perform.	Renee's piano teachers that had not referenced Cindy could ever refuse to perform.	-203.0	-203.0	-11.9375	-11.9375	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
11	1	Tonya's sons who were observing Stephanie can not ever talk about Carla.	Tonya's sons who were not observing Stephanie can ever talk about Carla.	-178.0	-178.0	-11.875	-11.875	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
12	1	Many candles that might astound Naomi did not ever fade.	Many candles that might not astound Naomi did ever fade.	-144.0	-143.0	-12.0	-11.9375	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
13	1	Jeffrey's son that has climbed down the mountain has not ever argued.	Jeffrey's son that has not climbed down the mountain has ever argued.	-178.0	-178.0	-11.875	-11.875	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
14	1	William's senators that should complain about Jodi might not ever stretch.	William's senators that should not complain about Jodi might ever stretch.	-165.0	-166.0	-11.8125	-11.875	True	True	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
15	1	These pedestrians that are dropping by all glaciers had not ever coughed.	These pedestrians that are not dropping by all glaciers had ever coughed.	-167.0	-167.0	-11.9375	-11.9375	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
16	1	Tammy's bosses who have alarmed these people had not ever spun around.	Tammy's bosses who have not alarmed these people had ever spun around.	-178.0	-178.0	-11.8125	-11.875	False	True	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
17	1	That daughter of Sarah that was annoying Dana has not ever needed to walk through Harvard University.	That daughter of Sarah that was not annoying Dana has ever needed to walk through Harvard University.	-214.0	-214.0	-11.875	-11.875	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
18	1	The brothers of Gary that had helped Ella could not ever declare every scarf to wrinkle.	The brothers of Gary that had not helped Ella could ever declare every scarf to wrinkle.	-216.0	-216.0	-12.0	-12.0	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
19	1	Beth's cousins who have cared for Scott do not ever turn out to reference Katherine.	Beth's cousins who have not cared for Scott do ever turn out to reference Katherine.	-202.0	-203.0	-11.9375	-11.9375	True	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
20	1	Many grandfathers of Heather that had remembered Jessica have not ever neglected to disagree with Stacy.	Many grandfathers of Heather that had not remembered Jessica have ever neglected to disagree with Stacy.	-228.0	-228.0	-12.0	-12.0	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
21	1	Holly's dentists that are bringing some shoes could not ever find out who discovers what is crumpling.	Holly's dentists that are not bringing some shoes could ever find out who discovers what is crumpling.	-272.0	-272.0	-11.8125	-11.8125	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
22	1	Bethany's handymen who have resembled every photograph should not ever prompt Rachelle to break many skateboards.	Bethany's handymen who have not resembled every photograph should ever prompt Rachelle to break many skateboards.	-272.0	-272.0	-11.875	-11.875	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
23	1	A lot of brothers of Anne that have loved Alan had not ever thought many organizations have discovered Heather to come here.	A lot of brothers of Anne that have not loved Alan had ever thought many organizations have discovered Heather to come here.	-276.0	-276.0	-12.0	-12.0	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
24	1	Keith's husband that has fired a lot of customers had not ever listened to Derek.	Keith's husband that has not fired a lot of customers had ever listened to Derek.	-203.0	-203.0	-11.9375	-11.9375	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
25	1	Sons of Anna who are messing up a college campus might not ever laugh.	Sons of Anna who are not messing up a college campus might ever laugh.	-191.0	-191.0	-11.9375	-11.9375	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
26	1	Most people that were driving to most high schools will not ever think about who messed up some mall.	Most people that were not driving to most high schools will ever think about who messed up some mall.	-237.0	-237.0	-11.875	-11.875	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
27	1	Kirsten's bosses who can shock Amanda did not ever investigate who isn't telephoning.	Kirsten's bosses who can not shock Amanda did ever investigate who isn't telephoning.	-238.0	-238.0	-11.875	-11.9375	False	True	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
28	1	Dan's best friend that had disagreed with Sally has not ever gotten fired.	Dan's best friend that had not disagreed with Sally has ever gotten fired.	-179.0	-179.0	-11.9375	-11.9375	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
29	1	Some grandmothers of Danielle who did love Chad do not ever communicate.	Some grandmothers of Danielle who did not love Chad do ever communicate.	-178.0	-178.0	-11.875	-11.875	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
30	1	Most ladies' contractor who is concealing Melanie could not ever badger Benjamin's boyfriend to sit down.	Most ladies' contractor who is not concealing Melanie could ever badger Benjamin's boyfriend to sit down.	-251.0	-251.0	-11.9375	-11.9375	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
31	1	Anna's mentors that have escaped from Renee should not ever bother to sing.	Anna's mentors that have not escaped from Renee should ever bother to sing.	-190.0	-190.0	-11.875	-11.875	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
32	1	Some cart that was bothering these dancers had not ever crashed.	Some cart that was not bothering these dancers had ever crashed.	-143.0	-143.0	-11.9375	-11.9375	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
33	1	Some cucumber that is disgusting Tanya could not ever char.	Some cucumber that is not disgusting Tanya could ever char.	-143.0	-143.0	-11.9375	-11.9375	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
34	1	Ann's guests that will reveal the dancers can not ever assemble.	Ann's guests that will not reveal the dancers can ever assemble.	-156.0	-156.0	-12.0	-11.9375	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
35	1	These apples that do distract those guests did not ever char.	These apples that do not distract those guests did ever char.	-143.0	-144.0	-11.9375	-12.0	True	True	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
36	1	A lot of shawls that did irritate some doctor have not ever existed.	A lot of shawls that did not irritate some doctor have ever existed.	-202.0	-202.0	-11.875	-11.875	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
37	1	These friends of Brenda that had ascended that mountain should not ever say Melissa will remember what went bad.	These friends of Brenda that had not ascended that mountain should ever say Melissa will remember what went bad.	-251.0	-251.0	-11.9375	-11.9375	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
38	1	Carrie's student who was describing Andrea could not ever smile.	Carrie's student who was not describing Andrea could ever smile.	-155.0	-155.0	-11.9375	-11.9375	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
39	1	Those actors that had disgusted Linda will not ever try to bake.	Those actors that had not disgusted Linda will ever try to bake.	-155.0	-156.0	-11.9375	-12.0	True	True	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
40	1	A lot of waiters who are selling the lake do not ever describe Helen.	A lot of waiters who are not selling the lake do ever describe Helen.	-191.0	-191.0	-11.9375	-11.9375	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
